date,open,close
2019-07-09,12257.56,12494.73
2019-07-10,12970.97,12070.96
2019-07-11,11602.59,11562.07
2019-07-12,11654.67,11590.0
2019-07-15,10299.23,10844.45
2019-07-16,10682.74,9694.73
2019-07-17,9157.04,9731.54
2019-07-18,9751.31,10486.53
2019-07-19,10282.77,10393.6
2019-07-22,10559.64,10162.66
2019-07-23,10025.0,10149.29
2019-07-24,9721.5,9650.99
2019-07-25,10066.18,9857.82
2019-07-26,9791.33,9839.0
2019-07-29,9484.51,9487.63
2019-07-30,9524.81,9598.52
2019-07-31,9758.1,9979.89
2019-08-01,9962.86,10283.73
2019-08-02,10467.08,10444.41
2019-08-05,11776.52,11752.44
2019-08-06,11775.79,11710.0
2019-08-07,11743.09,11792.77
2019-08-08,11825.67,11615.82
2019-08-09,11705.03,11837.18
2019-08-12,11328.01,11443.89
2019-08-13,11280.12,10936.18
2019-08-14,10554.72,10137.77
2019-08-15,10160.14,10106.68
2019-08-16,10146.73,10451.75
2019-08-19,10670.77,10685.88
2019-08-20,10708.82,10734.1
2019-08-21,10179.01,10106.28
2019-08-22,9966.68,10161.22
2019-08-23,10115.9,10403.81
2019-08-26,10389.59,10325.0
2019-08-27,10130.63,10164.01
2019-08-28,10146.42,9683.94
2019-08-29,9466.45,9509.04
2019-08-30,9572.26,9571.66
2019-09-03,10424.5,10647.37
2019-09-04,10520.96,10695.23
2019-09-05,10567.51,10533.0
2019-09-06,10834.37,10372.75
2019-09-09,10413.28,10312.7
2019-09-10,10251.22,10026.31
2019-09-11,10063.07,10074.46
2019-09-12,10169.45,10300.63
2019-09-13,10306.84,10210.6
2019-09-16,10282.4,10121.39
2019-09-17,10162.84,10257.94
2019-09-18,10156.86,10171.84
2019-09-19,9857.56,10086.42
2019-09-20,10173.82,10161.53
2019-09-23,9916.35,9806.08
2019-09-24,9726.04,8367.78
2019-09-25,8324.15,8348.64
2019-09-26,8386.39,8131.0
2019-09-27,7988.18,7991.24
2019-09-30,8033.33,8269.53
2019-10-01,8353.35,8302.6
